,GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AF49E001,NAME_M,AF49M001
7650,G0600590063009,2012-2016,,,California,6,Orange County,59,,,63009,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 630.09, Orange County, California",135208.0,"Census Tract 630.09, Orange County, California",29823.0
7651,G0600590063010,2012-2016,,,California,6,Orange County,59,,,63010,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 630.10, Orange County, California",100321.0,"Census Tract 630.10, Orange County, California",13206.0
7652,G0600590063101,2012-2016,,,California,6,Orange County,59,,,63101,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 631.01, Orange County, California",77870.0,"Census Tract 631.01, Orange County, California",18924.0
7653,G0600590063102,2012-2016,,,California,6,Orange County,59,,,63102,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 631.02, Orange County, California",78250.0,"Census Tract 631.02, Orange County, California",22218.0
7654,G0600590063103,2012-2016,,,California,6,Orange County,59,,,63103,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 631.03, Orange County, California",84500.0,"Census Tract 631.03, Orange County, California",19548.0
7655,G0600590063201,2012-2016,,,California,6,Orange County,59,,,63201,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 632.01, Orange County, California",63806.0,"Census Tract 632.01, Orange County, California",11279.0
7656,G0600590063202,2012-2016,,,California,6,Orange County,59,,,63202,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 632.02, Orange County, California",86316.0,"Census Tract 632.02, Orange County, California",18152.0
7657,G0600590063301,2012-2016,,,California,6,Orange County,59,,,63301,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 633.01, Orange County, California",80170.0,"Census Tract 633.01, Orange County, California",17069.0
7658,G0600590063302,2012-2016,,,California,6,Orange County,59,,,63302,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 633.02, Orange County, California",101207.0,"Census Tract 633.02, Orange County, California",10848.0
7659,G0600590063400,2012-2016,,,California,6,Orange County,59,,,63400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 634, Orange County, California",116121.0,"Census Tract 634, Orange County, California",26008.0
7660,G0600590063500,2012-2016,,,California,6,Orange County,59,,,63500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 635, Orange County, California",117389.0,"Census Tract 635, Orange County, California",11885.0
7661,G0600590063601,2012-2016,,,California,6,Orange County,59,,,63601,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 636.01, Orange County, California",88281.0,"Census Tract 636.01, Orange County, California",9958.0
7662,G0600590063603,2012-2016,,,California,6,Orange County,59,,,63603,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 636.03, Orange County, California",77691.0,"Census Tract 636.03, Orange County, California",10251.0
7663,G0600590063604,2012-2016,,,California,6,Orange County,59,,,63604,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 636.04, Orange County, California",50026.0,"Census Tract 636.04, Orange County, California",17588.0
7664,G0600590063605,2012-2016,,,California,6,Orange County,59,,,63605,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 636.05, Orange County, California",40163.0,"Census Tract 636.05, Orange County, California",7579.0
7665,G0600590063701,2012-2016,,,California,6,Orange County,59,,,63701,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 637.01, Orange County, California",40168.0,"Census Tract 637.01, Orange County, California",6253.0
7666,G0600590063702,2012-2016,,,California,6,Orange County,59,,,63702,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 637.02, Orange County, California",49815.0,"Census Tract 637.02, Orange County, California",14308.0
7667,G0600590063802,2012-2016,,,California,6,Orange County,59,,,63802,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 638.02, Orange County, California",70571.0,"Census Tract 638.02, Orange County, California",16622.0
7668,G0600590063803,2012-2016,,,California,6,Orange County,59,,,63803,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 638.03, Orange County, California",85107.0,"Census Tract 638.03, Orange County, California",15143.0
7669,G0600590063805,2012-2016,,,California,6,Orange County,59,,,63805,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 638.05, Orange County, California",95341.0,"Census Tract 638.05, Orange County, California",16710.0
7670,G0600590063806,2012-2016,,,California,6,Orange County,59,,,63806,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 638.06, Orange County, California",102708.0,"Census Tract 638.06, Orange County, California",11955.0
7671,G0600590063807,2012-2016,,,California,6,Orange County,59,,,63807,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 638.07, Orange County, California",61629.0,"Census Tract 638.07, Orange County, California",17658.0
7672,G0600590063808,2012-2016,,,California,6,Orange County,59,,,63808,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 638.08, Orange County, California",52207.0,"Census Tract 638.08, Orange County, California",10162.0
7673,G0600590063902,2012-2016,,,California,6,Orange County,59,,,63902,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 639.02, Orange County, California",59840.0,"Census Tract 639.02, Orange County, California",8042.0
7674,G0600590063903,2012-2016,,,California,6,Orange County,59,,,63903,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 639.03, Orange County, California",88542.0,"Census Tract 639.03, Orange County, California",20595.0
7675,G0600590063904,2012-2016,,,California,6,Orange County,59,,,63904,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 639.04, Orange County, California",83708.0,"Census Tract 639.04, Orange County, California",11327.0
7676,G0600590063905,2012-2016,,,California,6,Orange County,59,,,63905,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 639.05, Orange County, California",77303.0,"Census Tract 639.05, Orange County, California",11166.0
7677,G0600590063906,2012-2016,,,California,6,Orange County,59,,,63906,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 639.06, Orange County, California",56250.0,"Census Tract 639.06, Orange County, California",11726.0
7678,G0600590063907,2012-2016,,,California,6,Orange County,59,,,63907,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 639.07, Orange County, California",102589.0,"Census Tract 639.07, Orange County, California",17531.0
