,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
239,2017,2017,0,Total,41953,7312.0,"Census Tract 5032.18, Santa Clara County, CA",14000US06085503218
243,2017,2017,0,Total,66932,8081.999999999999,"Census Tract 5033.04, Santa Clara County, CA",14000US06085503304
246,2017,2017,0,Total,81250,10038.0,"Census Tract 5033.05, Santa Clara County, CA",14000US06085503305
249,2017,2017,0,Total,64769,20949.0,"Census Tract 5033.06, Santa Clara County, CA",14000US06085503306
253,2017,2017,0,Total,95855,12157.0,"Census Tract 5033.12, Santa Clara County, CA",14000US06085503312
256,2017,2017,0,Total,159000,17937.0,"Census Tract 5033.13, Santa Clara County, CA",14000US06085503313
259,2017,2017,0,Total,96048,19534.0,"Census Tract 5033.15, Santa Clara County, CA",14000US06085503315
263,2017,2017,0,Total,106659,4889.0,"Census Tract 5033.21, Santa Clara County, CA",14000US06085503321
266,2017,2017,0,Total,112500,14510.0,"Census Tract 5033.22, Santa Clara County, CA",14000US06085503322
269,2017,2017,0,Total,116719,17875.0,"Census Tract 5033.23, Santa Clara County, CA",14000US06085503323
273,2017,2017,0,Total,123819,16915.0,"Census Tract 5033.24, Santa Clara County, CA",14000US06085503324
276,2017,2017,0,Total,118554,13994.000000000002,"Census Tract 5033.25, Santa Clara County, CA",14000US06085503325
279,2017,2017,0,Total,176394,13108.0,"Census Tract 5033.26, Santa Clara County, CA",14000US06085503326
283,2017,2017,0,Total,86923,19131.0,"Census Tract 5033.27, Santa Clara County, CA",14000US06085503327
286,2017,2017,0,Total,180375,15214.0,"Census Tract 5033.29, Santa Clara County, CA",14000US06085503329
289,2017,2017,0,Total,186767,23857.0,"Census Tract 5033.30, Santa Clara County, CA",14000US06085503330
293,2017,2017,0,Total,104453,29169.0,"Census Tract 5033.31, Santa Clara County, CA",14000US06085503331
296,2017,2017,0,Total,96029,16254.0,"Census Tract 5033.32, Santa Clara County, CA",14000US06085503332
299,2017,2017,0,Total,150071,15208.0,"Census Tract 5033.33, Santa Clara County, CA",14000US06085503333
303,2017,2017,0,Total,227849,29055.000000000004,"Census Tract 5033.34, Santa Clara County, CA",14000US06085503334
306,2017,2017,0,Total,93750,12956.0,"Census Tract 5033.36, Santa Clara County, CA",14000US06085503336
309,2017,2017,0,Total,84821,10622.0,"Census Tract 5033.37, Santa Clara County, CA",14000US06085503337
313,2017,2017,0,Total,66250,12538.0,"Census Tract 5034.01, Santa Clara County, CA",14000US06085503401
316,2017,2017,0,Total,56097,7752.999999999999,"Census Tract 5034.02, Santa Clara County, CA",14000US06085503402
319,2017,2017,0,Total,77614,15593.0,"Census Tract 5035.04, Santa Clara County, CA",14000US06085503504
323,2017,2017,0,Total,62868,13226.0,"Census Tract 5035.06, Santa Clara County, CA",14000US06085503506
326,2017,2017,0,Total,122875,25718.0,"Census Tract 5035.07, Santa Clara County, CA",14000US06085503507
329,2017,2017,0,Total,76250,16499.0,"Census Tract 5035.08, Santa Clara County, CA",14000US06085503508
333,2017,2017,0,Total,90739,14901.999999999998,"Census Tract 5035.09, Santa Clara County, CA",14000US06085503509
336,2017,2017,0,Total,69456,6297.0,"Census Tract 5035.10, Santa Clara County, CA",14000US06085503510
339,2017,2017,0,Total,101806,14575.0,"Census Tract 5035.11, Santa Clara County, CA",14000US06085503511
343,2017,2017,0,Total,55833,6792.0,"Census Tract 5036.01, Santa Clara County, CA",14000US06085503601
346,2017,2017,0,Total,52425,9456.0,"Census Tract 5036.02, Santa Clara County, CA",14000US06085503602
349,2017,2017,0,Total,61250,7637.0,"Census Tract 5037.03, Santa Clara County, CA",14000US06085503703
353,2017,2017,0,Total,85268,8669.0,"Census Tract 5037.07, Santa Clara County, CA",14000US06085503707
356,2017,2017,0,Total,74861,17084.0,"Census Tract 5037.08, Santa Clara County, CA",14000US06085503708
359,2017,2017,0,Total,30625,3742.0,"Census Tract 5037.09, Santa Clara County, CA",14000US06085503709
363,2017,2017,0,Total,29558,6355.0,"Census Tract 5037.10, Santa Clara County, CA",14000US06085503710
366,2017,2017,0,Total,80074,19967.0,"Census Tract 5037.11, Santa Clara County, CA",14000US06085503711
369,2017,2017,0,Total,35313,14669.0,"Census Tract 5037.12, Santa Clara County, CA",14000US06085503712
371,2017,2017,0,Total,32031,5703.0,"Census Tract 5037.13, Santa Clara County, CA",14000US06085503713
367,2017,2017,0,Total,90645,9683.0,"Census Tract 5038.02, Santa Clara County, CA",14000US06085503802
365,2017,2017,0,Total,87292,24491.0,"Census Tract 5038.03, Santa Clara County, CA",14000US06085503803
361,2017,2017,0,Total,88547,20163.0,"Census Tract 5038.04, Santa Clara County, CA",14000US06085503804
357,2017,2017,0,Total,69286,14561.0,"Census Tract 5039.02, Santa Clara County, CA",14000US06085503902
355,2017,2017,0,Total,81818,14540.0,"Census Tract 5039.03, Santa Clara County, CA",14000US06085503903
351,2017,2017,0,Total,63750,12671.0,"Census Tract 5040.01, Santa Clara County, CA",14000US06085504001
347,2017,2017,0,Total,71307,15105.0,"Census Tract 5040.02, Santa Clara County, CA",14000US06085504002
345,2017,2017,0,Total,73922,8034.000000000001,"Census Tract 5041.01, Santa Clara County, CA",14000US06085504101
341,2017,2017,0,Total,81927,17662.0,"Census Tract 5041.02, Santa Clara County, CA",14000US06085504102
337,2017,2017,0,Total,147073,12448.0,"Census Tract 5042.01, Santa Clara County, CA",14000US06085504201
335,2017,2017,0,Total,145125,20322.0,"Census Tract 5042.02, Santa Clara County, CA",14000US06085504202
331,2017,2017,0,Total,99954,8654.0,"Census Tract 5043.07, Santa Clara County, CA",14000US06085504307
327,2017,2017,0,Total,118833,22195.0,"Census Tract 5043.08, Santa Clara County, CA",14000US06085504308
325,2017,2017,0,Total,132500,21710.0,"Census Tract 5043.11, Santa Clara County, CA",14000US06085504311
321,2017,2017,0,Total,110463,14501.0,"Census Tract 5043.14, Santa Clara County, CA",14000US06085504314
317,2017,2017,0,Total,102609,11459.0,"Census Tract 5043.15, Santa Clara County, CA",14000US06085504315
315,2017,2017,0,Total,111087,24155.0,"Census Tract 5043.16, Santa Clara County, CA",14000US06085504316
311,2017,2017,0,Total,107250,35606.0,"Census Tract 5043.17, Santa Clara County, CA",14000US06085504317
307,2017,2017,0,Total,68418,13028.0,"Census Tract 5043.18, Santa Clara County, CA",14000US06085504318
305,2017,2017,0,Total,106365,5117.0,"Census Tract 5043.19, Santa Clara County, CA",14000US06085504319
301,2017,2017,0,Total,125156,18291.0,"Census Tract 5043.20, Santa Clara County, CA",14000US06085504320
297,2017,2017,0,Total,105833,17674.0,"Census Tract 5043.21, Santa Clara County, CA",14000US06085504321
295,2017,2017,0,Total,127670,27092.000000000004,"Census Tract 5043.22, Santa Clara County, CA",14000US06085504322
291,2017,2017,0,Total,99577,9385.0,"Census Tract 5043.23, Santa Clara County, CA",14000US06085504323
287,2017,2017,0,Total,74196,22342.0,"Census Tract 5044.10, Santa Clara County, CA",14000US06085504410
285,2017,2017,0,Total,102574,16715.0,"Census Tract 5044.11, Santa Clara County, CA",14000US06085504411
281,2017,2017,0,Total,74516,6749.0,"Census Tract 5044.12, Santa Clara County, CA",14000US06085504412
277,2017,2017,0,Total,113421,20900.0,"Census Tract 5044.13, Santa Clara County, CA",14000US06085504413
275,2017,2017,0,Total,163365,21610.0,"Census Tract 5044.14, Santa Clara County, CA",14000US06085504414
271,2017,2017,0,Total,131250,26372.0,"Census Tract 5044.15, Santa Clara County, CA",14000US06085504415
267,2017,2017,0,Total,111875,15101.000000000002,"Census Tract 5044.16, Santa Clara County, CA",14000US06085504416
265,2017,2017,0,Total,95750,30741.000000000004,"Census Tract 5044.17, Santa Clara County, CA",14000US06085504417
261,2017,2017,0,Total,85990,6632.0,"Census Tract 5044.18, Santa Clara County, CA",14000US06085504418
257,2017,2017,0,Total,116618,10259.0,"Census Tract 5044.20, Santa Clara County, CA",14000US06085504420
255,2017,2017,0,Total,124963,11921.0,"Census Tract 5044.21, Santa Clara County, CA",14000US06085504421
251,2017,2017,0,Total,100938,14306.0,"Census Tract 5044.22, Santa Clara County, CA",14000US06085504422
247,2017,2017,0,Total,118786,20050.0,"Census Tract 5044.23, Santa Clara County, CA",14000US06085504423
245,2017,2017,0,Total,106547,19870.0,"Census Tract 5045.04, Santa Clara County, CA",14000US06085504504
241,2017,2017,0,Total,131959,8128.0,"Census Tract 5045.05, Santa Clara County, CA",14000US06085504505
237,2017,2017,0,Total,89961,19357.0,"Census Tract 5045.06, Santa Clara County, CA",14000US06085504506
235,2017,2017,0,Total,96729,3988.0,"Census Tract 5045.07, Santa Clara County, CA",14000US06085504507
231,2017,2017,0,Total,64750,18495.0,"Census Tract 5046.01, Santa Clara County, CA",14000US06085504601
227,2017,2017,0,Total,84784,12039.0,"Census Tract 5046.02, Santa Clara County, CA",14000US06085504602
225,2017,2017,0,Total,83889,21598.0,"Census Tract 5047, Santa Clara County, CA",14000US06085504700
221,2017,2017,0,Total,93664,15683.0,"Census Tract 5048.02, Santa Clara County, CA",14000US06085504802
217,2017,2017,0,Total,119216,13864.0,"Census Tract 5048.03, Santa Clara County, CA",14000US06085504803
215,2017,2017,0,Total,95506,8278.0,"Census Tract 5048.05, Santa Clara County, CA",14000US06085504805
211,2017,2017,0,Total,110313,26882.0,"Census Tract 5048.06, Santa Clara County, CA",14000US06085504806
207,2017,2017,0,Total,153611,18941.0,"Census Tract 5049.01, Santa Clara County, CA",14000US06085504901
205,2017,2017,0,Total,127917,18085.0,"Census Tract 5050.01, Santa Clara County, CA",14000US06085505001
201,2017,2017,0,Total,156364,5314.0,"Census Tract 5050.06, Santa Clara County, CA",14000US06085505006
197,2017,2017,0,Total,103333,20633.0,"Census Tract 5050.07, Santa Clara County, CA",14000US06085505007
195,2017,2017,0,Total,130217,8915.0,"Census Tract 5050.08, Santa Clara County, CA",14000US06085505008
191,2017,2017,0,Total,104010,23927.0,"Census Tract 5050.09, Santa Clara County, CA",14000US06085505009
187,2017,2017,0,Total,76521,13234.0,"Census Tract 5051, Santa Clara County, CA",14000US06085505100
185,2017,2017,0,Total,66574,22462.0,"Census Tract 5052.02, Santa Clara County, CA",14000US06085505202
181,2017,2017,0,Total,101150,10620.0,"Census Tract 5052.03, Santa Clara County, CA",14000US06085505203
177,2017,2017,0,Total,94736,18584.0,"Census Tract 5053.01, Santa Clara County, CA",14000US06085505301
175,2017,2017,0,Total,91364,28818.0,"Census Tract 5053.02, Santa Clara County, CA",14000US06085505302
171,2017,2017,0,Total,79818,10848.0,"Census Tract 5053.03, Santa Clara County, CA",14000US06085505303
167,2017,2017,0,Total,127198,16661.0,"Census Tract 5053.04, Santa Clara County, CA",14000US06085505304
165,2017,2017,0,Total,110982,20651.0,"Census Tract 5053.05, Santa Clara County, CA",14000US06085505305
161,2017,2017,0,Total,105339,13039.0,"Census Tract 5054.01, Santa Clara County, CA",14000US06085505401
157,2017,2017,0,Total,106583,25649.0,"Census Tract 5054.02, Santa Clara County, CA",14000US06085505402
155,2017,2017,0,Total,97014,23076.0,"Census Tract 5054.03, Santa Clara County, CA",14000US06085505403
151,2017,2017,0,Total,104146,11291.0,"Census Tract 5055, Santa Clara County, CA",14000US06085505500
147,2017,2017,0,Total,51397,8889.0,"Census Tract 5056, Santa Clara County, CA",14000US06085505600
145,2017,2017,0,Total,70625,25445.0,"Census Tract 5057, Santa Clara County, CA",14000US06085505700
141,2017,2017,0,Total,118667,13065.0,"Census Tract 5058, Santa Clara County, CA",14000US06085505800
137,2017,2017,0,Total,104375,20274.0,"Census Tract 5059, Santa Clara County, CA",14000US06085505900
135,2017,2017,0,Total,105260,5661.0,"Census Tract 5060, Santa Clara County, CA",14000US06085506000
