,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
102,2017,2017,0,Total,175833,18770.0,"Census Tract 5083.03, Santa Clara County, CA",14000US06085508303
108,2017,2017,0,Total,91034,16985.0,"Census Tract 5083.04, Santa Clara County, CA",14000US06085508304
112,2017,2017,0,Total,163542,10032.0,"Census Tract 5084.01, Santa Clara County, CA",14000US06085508401
118,2017,2017,0,Total,172321,24819.0,"Census Tract 5084.03, Santa Clara County, CA",14000US06085508403
122,2017,2017,0,Total,135000,38236.0,"Census Tract 5084.04, Santa Clara County, CA",14000US06085508404
128,2017,2017,0,Total,127905,23169.0,"Census Tract 5085.03, Santa Clara County, CA",14000US06085508503
132,2017,2017,0,Total,110401,9822.0,"Census Tract 5085.04, Santa Clara County, CA",14000US06085508504
138,2017,2017,0,Total,144615,20047.0,"Census Tract 5085.05, Santa Clara County, CA",14000US06085508505
142,2017,2017,0,Total,105446,19087.0,"Census Tract 5085.07, Santa Clara County, CA",14000US06085508507
148,2017,2017,0,Total,88375,20157.0,"Census Tract 5085.08, Santa Clara County, CA",14000US06085508508
152,2017,2017,0,Total,129813,19817.0,"Census Tract 5086.01, Santa Clara County, CA",14000US06085508601
158,2017,2017,0,Total,122609,10712.0,"Census Tract 5086.02, Santa Clara County, CA",14000US06085508602
162,2017,2017,0,Total,127125,11383.0,"Census Tract 5087.03, Santa Clara County, CA",14000US06085508703
168,2017,2017,0,Total,112031,21448.0,"Census Tract 5087.04, Santa Clara County, CA",14000US06085508704
172,2017,2017,0,Total,121759,15133.0,"Census Tract 5088, Santa Clara County, CA",14000US06085508800
178,2017,2017,0,Total,89792,8745.0,"Census Tract 5089, Santa Clara County, CA",14000US06085508900
182,2017,2017,0,Total,74286,10054.0,"Census Tract 5090, Santa Clara County, CA",14000US06085509000
188,2017,2017,0,Total,147019,26375.0,"Census Tract 5091.02, Santa Clara County, CA",14000US06085509102
192,2017,2017,0,Total,111843,14338.999999999998,"Census Tract 5091.05, Santa Clara County, CA",14000US06085509105
198,2017,2017,0,Total,130139,27940.0,"Census Tract 5091.06, Santa Clara County, CA",14000US06085509106
202,2017,2017,0,Total,114853,15867.0,"Census Tract 5091.07, Santa Clara County, CA",14000US06085509107
